timestamp,site_id,event_id,start_day,end_day,status,action,notes,user,resolution_type,resolution_cause,cost,resolved_by,escalated_to,urgency,reminder_date,reason
2025-12-04 12:33:37.697848,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-04 12:42:02.537950,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 12:47:44.307087,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 12:57:01.373753,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:01:15.441417,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:04:45.926730,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:12:40.834358,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:12:48.592334,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,,,,,,,,
2025-12-04 13:13:08.227723,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Ignore,,,False Alarm,,,,,,,false_alarm
2025-12-04 13:17:15.042075,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:24:50.097200,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:25:50.795256,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:36:45.006167,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:51:26.085554,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:52:53.446881,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 13:55:04.787698,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:11:43.492809,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:20:00.407455,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:20:34.523651,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:30:55.858522,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:35:21.669538,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:39:02.145071,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:47:12.780839,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:49:37.705579,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-04 14:54:16.520182,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-05 08:42:04.335216,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-05 08:46:16.023331,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-05 08:57:51.352088,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-05 09:00:10.253922,Property 11127,Property 11127__2024-12-02__2024-12-05,2024-12-02,2024-12-05,CALL,Acknowledge,,,,,,,,,,
2025-12-05 09:03:52.217984,Property 11127,Property 11127__2024-12-02__2024-12-05,,,,Acknowledge,,,,,,,,,,
2025-12-05 09:33:26.815933,Property 42984,Property 42984__2024-12-17__2024-12-19,2024-12-17,2024-12-19,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:34:27.515857,Property 42984,Property 42984__2024-12-17__2024-12-20,2024-12-17,2024-12-20,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:34:36.989530,Property 42984,Property 42984__2024-12-17__2024-12-21,2024-12-17,2024-12-21,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:35:00.749351,Property 42984,Property 42984__2024-12-24__2024-12-28,2024-12-24,2024-12-28,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:35:23.727002,Property 42984,Property 42984__2024-12-24__2024-12-29,2024-12-24,2024-12-29,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:35:45.118354,Property 42984,Property 42984__2024-12-17__2024-12-19,2024-12-17,2024-12-19,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:36:02.054056,Property 42984,Property 42984__2024-12-17__2024-12-20,2024-12-17,2024-12-20,INVESTIGATE,Acknowledge,,,,,,,,,,
2025-12-05 09:36:12.341520,Property 42984,Property 42984__2024-12-17__2024-12-21,2024-12-17,2024-12-21,INVESTIGATE,Acknowledge,,,,,,,,,,
